user_id,timestamp,group,landing_page,converted
751958,2026-06-01 00:00:00,treatment,new_page,1
776867,2026-06-01 00:00:01,control,old_page,0
761932,2026-06-01 00:00:02,treatment,new_page,0
889178,2026-06-01 00:00:03,treatment,new_page,1
749879,2026-06-01 00:00:04,treatment,new_page,1
740268,2026-06-01 00:00:05,treatment,new_page,1
837892,2026-06-01 00:00:06,control,old_page,0
684886,2026-06-01 00:00:07,treatment,new_page,0
767337,2026-06-01 00:00:08,treatment,new_page,0
717498,2026-06-01 00:00:09,control,old_page,0
805203,2026-06-01 00:00:10,treatment,new_page,0
821335,2026-06-01 00:00:11,control,old_page,0
908167,2026-06-01 00:00:12,control,old_page,0
671090,2026-06-01 00:00:13,control,old_page,0
694820,2026-06-01 00:00:14,control,old_page,0
892913,2026-06-01 00:00:15,treatment,new_page,0
824027,2026-06-01 00:00:16,control,old_page,0
882709,2026-06-01 00:00:17,control,old_page,0
829041,2026-06-01 00:00:18,control,old_page,0
897455,2026-06-01 00:00:19,control,old_page,0
733355,2026-06-01 00:00:20,control,old_page,0
865796,2026-06-01 00:00:21,control,old_page,0
844176,2026-06-01 00:00:22,treatment,new_page,0
814779,2026-06-01 00:00:23,control,old_page,0
888795,2026-06-01 00:00:24,control,old_page,0
786730,2026-06-01 00:00:25,treatment,new_page,0
779503,2026-06-01 00:00:26,treatment,new_page,0
760523,2026-06-01 00:00:27,control,old_page,0
632747,2026-06-01 00:00:28,control,old_page,1
753855,2026-06-01 00:00:29,treatment,new_page,0
695725,2026-06-01 00:00:30,control,old_page,0
759981,2026-06-01 00:00:31,control,old_page,0
714654,2026-06-01 00:00:32,control,old_page,0
697435,2026-06-01 00:00:33,control,old_page,0
949030,2026-06-01 00:00:34,treatment,new_page,0
661551,2026-06-01 00:00:35,control,old_page,0
903538,2026-06-01 00:00:36,control,old_page,0
633890,2026-06-01 00:00:37,treatment,new_page,0
671606,2026-06-01 00:00:38,treatment,new_page,0
886840,2026-06-01 00:00:39,treatment,new_page,0
771699,2026-06-01 00:00:40,control,old_page,0
900936,2026-06-01 00:00:41,control,old_page,0
869931,2026-06-01 00:00:42,treatment,new_page,0
869629,2026-06-01 00:00:43,treatment,new_page,0
835041,2026-06-01 00:00:44,treatment,new_page,0
804073,2026-06-01 00:00:45,treatment,new_page,0
837624,2026-06-01 00:00:46,control,old_page,0
698148,2026-06-01 00:00:47,control,old_page,0
882801,2026-06-01 00:00:48,treatment,new_page,0
